PG,SG,SF,PF,C,G,F,UTIL
Bol Bol,Brandin Podziemski,Draymond Green,Grayson Allen,Kevin Durant,LOCKED,Trey Murphy III,Tyus Jones
Aaron Gordon,Dante Exum,Jamal Murray,LOCKED,Naji Marshall,Olivier-Maxence Prosper,Russell Westbrook,Trey Murphy III
AJ Green,Damian Lillard,Giannis Antetokounmpo,Gui Santos,Karlo Matkovic,LOCKED,LOCKED,LOCKED
Buddy Hield,Damian Lillard,Devin Booker,Gui Santos,LOCKED,LOCKED,Moses Brown,Naji Marshall
Damian Lillard,Devin Booker,Karlo Matkovic,LOCKED,Max Christie,Naji Marshall,Royce O'Neale,Russell Westbrook
CJ McCollum,Damian Lillard,Karlo Matkovic,Klay Thompson,LOCKED,Max Christie,Michael Porter Jr.,Naji Marshall
AJ Green,Bol Bol,Brook Lopez,Cole Anthony,Devin Booker,Kevin Durant,Naji Marshall,Trey Murphy III
Bol Bol,CJ McCollum,Gary Trent Jr.,Giannis Antetokounmpo,Kevin Durant,Klay Thompson,Naji Marshall,Tyus Jones
Dante Exum,Karlo Matkovic,Kyrie Irving,LOCKED,LOCKED,Michael Porter Jr.,Moses Brown,Tyus Jones
Jamal Murray,Kevin Durant,Klay Thompson,LOCKED,Max Christie,Michael Porter Jr.,Naji Marshall,Tyus Jones
Bol Bol,Grayson Allen,Kyrie Irving,LOCKED,LOCKED,Moses Brown,Russell Westbrook,Trey Murphy III
Aaron Gordon,Gary Payton II,Jonathan Isaac,LOCKED,LOCKED,Max Christie,Trey Murphy III,Tyus Jones
Jonathan Isaac,LOCKED,LOCKED,Miles Bridges,Moses Brown,Nick Smith Jr.,Trey Murphy III,Tyus Jones
Gary Payton II,Jamal Murray,Karlo Matkovic,Kevin Durant,Klay Thompson,LOCKED,Michael Porter Jr.,Tyus Jones
Devin Booker,Giannis Antetokounmpo,Grayson Allen,Jose Alvarado,Karlo Matkovic,LOCKED,Moses Brown,Nick Smith Jr.
Bol Bol,Brook Lopez,CJ McCollum,Grayson Allen,KJ Simpson,LOCKED,Michael Porter Jr.,Trey Murphy III
Bol Bol,Jamal Murray,Klay Thompson,LOCKED,LOCKED,Max Christie,Moses Brown,Naji Marshall
Aaron Gordon,Kyrie Irving,LOCKED,Miles Bridges,Moses Brown,Trey Murphy III,Tristan da Silva,Tyus Jones
Cole Anthony,Grayson Allen,KJ Simpson,Kevin Durant,LOCKED,LOCKED,Moses Brown,Tyus Jones
CJ McCollum,Devin Booker,Gui Santos,LOCKED,Michael Porter Jr.,Moses Brown,Nick Smith Jr.,Zion Williamson
AJ Green,Dante Exum,Devin Booker,Karlo Matkovic,Kevin Durant,Max Christie,Michael Porter Jr.,Zion Williamson
Bol Bol,Jamal Murray,Jonathan Isaac,Kevin Durant,LOCKED,LOCKED,Miles Bridges,Tyus Jones
Bol Bol,Damian Lillard,Devin Booker,KJ Simpson,Karlo Matkovic,Michael Porter Jr.,Trey Murphy III,Yves Missi
AJ Green,Devin Booker,Draymond Green,Jose Alvarado,Karlo Matkovic,LOCKED,LOCKED,Naji Marshall
Bol Bol,Damian Lillard,LOCKED,LOCKED,LOCKED,Miles Bridges,Moses Brown,Zion Williamson
Aaron Gordon,Bol Bol,KJ Simpson,Kevin Durant,Klay Thompson,LOCKED,LOCKED,Michael Porter Jr.
Gary Payton II,Kevin Durant,Kevon Looney,Miles Bridges,Naji Marshall,Spencer Dinwiddie,Trey Murphy III,Zion Williamson
Bol Bol,Jamal Murray,Karlo Matkovic,LOCKED,LOCKED,Max Christie,Moses Brown,Trey Murphy III
Bol Bol,Karlo Matkovic,Klay Thompson,LOCKED,LOCKED,Max Christie,Russell Westbrook,Tyus Jones
Aaron Gordon,Christian Braun,Devin Booker,KJ Simpson,Kevin Durant,Klay Thompson,LOCKED,Trey Murphy III
Devin Booker,Karlo Matkovic,LOCKED,LOCKED,Miles Bridges,Russell Westbrook,Tristan da Silva,Yves Missi
Gary Trent Jr.,LOCKED,LOCKED,Max Christie,Miles Bridges,Tristan da Silva,Tyus Jones,Yves Missi
Giannis Antetokounmpo,Grayson Allen,Karlo Matkovic,LOCKED,LOCKED,Naji Marshall,Trey Murphy III,Tyus Jones
Aaron Gordon,Devin Booker,Jamal Murray,KJ Simpson,LOCKED,Naji Marshall,Nick Smith Jr.,Yves Missi
AJ Green,Devin Booker,Karlo Matkovic,Kevin Durant,LOCKED,Michael Porter Jr.,Naji Marshall,Royce O'Neale
AJ Green,Aaron Gordon,Christian Braun,Grayson Allen,Karlo Matkovic,Kevin Durant,LOCKED,LOCKED
Kevin Durant,Klay Thompson,LOCKED,Naji Marshall,Russell Westbrook,Spencer Dinwiddie,Trey Murphy III,Yves Missi
Bol Bol,Brook Lopez,Damian Lillard,Devin Booker,LOCKED,LOCKED,LOCKED,Spencer Dinwiddie
AJ Green,Brook Lopez,Jordan Hawkins,Karlo Matkovic,Kevin Durant,LOCKED,LOCKED,Naji Marshall
