PG,SG,SF,PF,C,G,F,UTIL
Andre Drummond,Andrew Wiggins,Jalen Brunson,Josh Giddey,Kawhi Leonard,Kyle Anderson,RJ Barrett,Richaun Holmes
Aaron Nesmith,Alperen Sengun,Day'Ron Sharpe,Deni Avdija,Dyson Daniels,Josh Giddey,Kawhi Leonard,Payton Pritchard
Andre Drummond,Day'Ron Sharpe,Deni Avdija,Dyson Daniels,Josh Hart,Matas Buzelis,RJ Barrett,Tyler Herro
Andre Drummond,Andrew Wiggins,Deni Avdija,Josh Giddey,Miles McBride,Onyeka Okongwu,RJ Barrett,Tyrese Haliburton
Andrew Wiggins,Day'Ron Sharpe,Deni Avdija,Jalen Brunson,Josh Giddey,Kyle Anderson,Payton Pritchard,RJ Barrett
Andrew Wiggins,Anfernee Simons,Deni Avdija,Gradey Dick,Onyeka Okongwu,RJ Barrett,Tyler Herro,Zach Collins
Andre Drummond,Andrew Wiggins,Anfernee Simons,Day'Ron Sharpe,Deni Avdija,Dyson Daniels,Josh Hart,RJ Barrett
Deni Avdija,Dyson Daniels,Ivica Zubac,Jalen Brunson,Josh Giddey,Matas Buzelis,Ochai Agbaji,Zach Collins
Aaron Nesmith,Deni Avdija,Georges Niang,Ivica Zubac,Josh Giddey,RJ Barrett,Tyler Herro,Zach Collins
Aaron Nesmith,Andrew Wiggins,Dyson Daniels,Ivica Zubac,Jalen Brunson,Richaun Holmes,Tosan Evbuomwan,Tyler Herro
Andre Drummond,Anfernee Simons,Deni Avdija,Gradey Dick,Jalen Brunson,Josh Giddey,Kawhi Leonard,Matas Buzelis
Andre Drummond,Deni Avdija,Dyson Daniels,Jalen Brunson,Josh Giddey,Josh Hart,Richaun Holmes,Tosan Evbuomwan
Anfernee Simons,Cade Cunningham,Josh Hart,Miles McBride,Onyeka Okongwu,Pascal Siakam,Tosan Evbuomwan,Zach Collins
Andrew Wiggins,Ivica Zubac,Josh Giddey,Kyle Anderson,Ochai Agbaji,Onyeka Okongwu,RJ Barrett,Tyrese Haliburton
Deni Avdija,Dyson Daniels,Georges Niang,Jalen Brunson,Josh Giddey,Josh Hart,Kyle Anderson,Zach Collins
