PG,SG,SF,PF,C,G,F,UTIL
Chris Paul,Devin Vassell,Jalen Duren,Jordan Poole,Karl-Anthony Towns,Kevin Porter Jr.,Kyshawn George,Max Christie
Bam Adebayo,Cade Cunningham,Chris Paul,Jalen Duren,Kevin Porter Jr.,Klay Thompson,Kyshawn George,Wendell Carter Jr.
Devin Vassell,Jarrett Allen,Karl-Anthony Towns,Kevin Porter Jr.,Kyrie Irving,Kyshawn George,Max Christie,Tim Hardaway Jr.
Ausar Thompson,Cade Cunningham,Chris Paul,De'Aaron Fox,Kevin Porter Jr.,Max Christie,Orlando Robinson,RJ Barrett
Bam Adebayo,Chris Paul,Darius Garland,Jalen Duren,Kelly Olynyk,Kevin Porter Jr.,Klay Thompson,Paolo Banchero
Andrew Wiggins,Ausar Thompson,Cade Cunningham,Devin Vassell,Kelly Olynyk,Kevin Porter Jr.,Scottie Barnes,Wendell Carter Jr.
Cade Cunningham,Chris Paul,Jordan Poole,Kevin Porter Jr.,Max Christie,Orlando Robinson,Santi Aldama,Trey Murphy III
Chris Paul,Dante Exum,Jarrett Allen,Kelly Olynyk,Kevin Porter Jr.,Kyle Kuzma,Kyrie Irving,Paolo Banchero
AJ Green,Cade Cunningham,Jalen Duren,Kelly Olynyk,Kevin Porter Jr.,Klay Thompson,RJ Barrett,Zion Williamson
Bam Adebayo,Chris Paul,Darius Garland,Kelly Olynyk,Kevin Porter Jr.,Kyrie Irving,RJ Barrett,Tim Hardaway Jr.
Ausar Thompson,De'Aaron Fox,Jarrett Allen,Jordan Poole,Kelly Olynyk,Kevin Porter Jr.,Max Christie,Zion Williamson
Bam Adebayo,De'Aaron Fox,Devin Vassell,Jordan Poole,Kelly Olynyk,Kevin Porter Jr.,Klay Thompson,Tobias Harris
Cade Cunningham,Harrison Barnes,Jarrett Allen,Jordan Poole,Kelly Olynyk,Kevin Porter Jr.,Kyshawn George,RJ Barrett
Cade Cunningham,Devin Vassell,Jarrett Allen,Kevin Porter Jr.,Max Christie,Orlando Robinson,Santi Aldama,Scottie Barnes
De'Aaron Fox,Devin Vassell,Kelly Olynyk,Kevin Porter Jr.,Kyrie Irving,Max Christie,Wendell Carter Jr.,Zion Williamson
Bam Adebayo,Jarrett Allen,Jordan Poole,Keldon Johnson,Kelly Olynyk,Kevin Porter Jr.,Klay Thompson,Kyrie Irving
Ausar Thompson,Bam Adebayo,Chris Paul,De'Aaron Fox,Kelly Olynyk,Klay Thompson,Kyrie Irving,Ryan Rollins
