PG,SG,SF,PF,C,G,F,UTIL
Bam Adebayo,Jordan Poole,Keldon Johnson,Kevin Porter Jr.,Klay Thompson,Kyle Kuzma,Orlando Robinson,Zion Williamson
Isaiah Stewart,Jordan Poole,Jose Alvarado,Karl-Anthony Towns,Kevin Porter Jr.,Khris Middleton,Naji Marshall,Paolo Banchero
Jalen Duren,Jordan Poole,Kelly Olynyk,Klay Thompson,Kyle Kuzma,PJ Washington,Paolo Banchero,Ryan Rollins
AJ Green,Ausar Thompson,Cade Cunningham,Jordan Poole,Kelly Olynyk,Kyle Kuzma,Paolo Banchero,Ryan Rollins
Ausar Thompson,Cade Cunningham,Darius Garland,Keldon Johnson,Kevin Porter Jr.,Khris Middleton,Paolo Banchero,Wendell Carter Jr.
Cade Cunningham,Jordan Poole,Kel'el Ware,Kevin Porter Jr.,Khris Middleton,PJ Washington,Santi Aldama,Wendell Carter Jr.
Bam Adebayo,De'Aaron Fox,Gary Trent Jr.,Jordan Poole,Kelly Olynyk,Kevin Porter Jr.,Kyle Kuzma,Stephon Castle
CJ McCollum,Klay Thompson,Kyle Kuzma,PJ Washington,Ryan Rollins,Scottie Barnes,Wendell Carter Jr.,Yves Missi
Dante Exum,Karl-Anthony Towns,Kevin Porter Jr.,Khris Middleton,Kyrie Irving,Miles McBride,RJ Barrett,Wendell Carter Jr.
Ausar Thompson,Cade Cunningham,Darius Garland,Kevin Porter Jr.,Precious Achiuwa,Ryan Rollins,Wendell Carter Jr.,Zion Williamson
Ausar Thompson,Bam Adebayo,Devin Vassell,Franz Wagner,Kelly Olynyk,Kevin Porter Jr.,Ryan Rollins,Scottie Barnes
Andrew Wiggins,Bam Adebayo,De'Aaron Fox,Devin Vassell,Kel'el Ware,Kevin Porter Jr.,Precious Achiuwa,Wendell Carter Jr.
Ausar Thompson,Bam Adebayo,Cade Cunningham,Gary Trent Jr.,Kevin Porter Jr.,Santi Aldama,Wendell Carter Jr.,Zion Williamson
Keldon Johnson,Kevin Porter Jr.,Khris Middleton,Max Christie,Scottie Barnes,Trey Murphy III,Wendell Carter Jr.,Zion Williamson
AJ Green,Bam Adebayo,Franz Wagner,Harrison Barnes,Jarrett Allen,Kevin Porter Jr.,Kyrie Irving,Wendell Carter Jr.
Ausar Thompson,Bilal Coulibaly,Cade Cunningham,De'Aaron Fox,Kelly Olynyk,Kevin Porter Jr.,Kyle Kuzma,Wendell Carter Jr.
Ausar Thompson,Darius Garland,De'Aaron Fox,Gary Trent Jr.,Kelly Olynyk,Kevin Porter Jr.,Kyle Kuzma,Kyrie Irving
Ausar Thompson,Devin Vassell,Immanuel Quickley,Klay Thompson,Kyle Kuzma,PJ Washington,Wendell Carter Jr.,Zion Williamson
