PG,SG,SF,PF,C,G,F,UTIL
Cade Cunningham,Darius Garland,Kevin Porter Jr.,PJ Washington,Ryan Rollins,Santi Aldama,Wendell Carter Jr.,Zion Williamson
Alexandre Sarr,Ausar Thompson,Darius Garland,Devin Vassell,Gary Trent Jr.,Gradey Dick,Karl-Anthony Towns,Kyle Kuzma
Ausar Thompson,Bam Adebayo,Darius Garland,Jalen Duren,Jordan Poole,Kevin Porter Jr.,Kyle Kuzma,Ryan Rollins
Bam Adebayo,Chris Paul,Franz Wagner,Gary Trent Jr.,Jose Alvarado,Kyle Kuzma,Precious Achiuwa,Santi Aldama
Dante Exum,Franz Wagner,Jordan Poole,Kelly Olynyk,Kevin Porter Jr.,Paolo Banchero,Ryan Rollins,Tyler Herro
Jalen Duren,Khris Middleton,Kyle Kuzma,Kyrie Irving,Max Christie,Paolo Banchero,Ryan Rollins,Wendell Carter Jr.
De'Aaron Fox,Jordan Poole,Kelly Olynyk,Khris Middleton,Paolo Banchero,Ryan Rollins,Trey Murphy III,Wendell Carter Jr.
Bam Adebayo,Darius Garland,Jalen Duren,Kevin Porter Jr.,PJ Washington,Ryan Rollins,Wendell Carter Jr.,Zion Williamson
Cade Cunningham,Chris Paul,Franz Wagner,Kevin Porter Jr.,Ryan Rollins,Santi Aldama,Wendell Carter Jr.,Zion Williamson
Jarrett Allen,Khris Middleton,Kyle Kuzma,Kyrie Irving,Max Christie,Paolo Banchero,Ryan Rollins,Wendell Carter Jr.
De'Aaron Fox,Gary Trent Jr.,Max Christie,PJ Washington,Paolo Banchero,Ryan Rollins,Wendell Carter Jr.,Zion Williamson
De'Aaron Fox,Isaiah Stewart,Jarrett Allen,Kevin Porter Jr.,PJ Washington,Paolo Banchero,Ryan Rollins,Zion Williamson
Ausar Thompson,De'Aaron Fox,Desmond Bane,Donovan Mitchell,Kelly Olynyk,Kentavious Caldwell-Pope,Klay Thompson,Kyle Kuzma
