PG,SG,SF,PF,C,G,F,UTIL
De'Aaron Fox,Jalen Duren,Kevin Porter Jr.,PJ Washington,RJ Barrett,Ryan Rollins,Trey Murphy III,Wendell Carter Jr.
AJ Green,Cade Cunningham,De'Aaron Fox,Orlando Robinson,Paolo Banchero,RJ Barrett,Santi Aldama,Wendell Carter Jr.
AJ Green,Bam Adebayo,Kelly Olynyk,Kyle Kuzma,PJ Washington,Paolo Banchero,Ryan Rollins,Trey Murphy III
Chris Paul,Karl-Anthony Towns,Kevin Porter Jr.,Khris Middleton,Kyle Kuzma,Max Christie,Paolo Banchero,Wendell Carter Jr.
AJ Green,Bam Adebayo,Immanuel Quickley,Kevin Porter Jr.,Kyrie Irving,PJ Washington,RJ Barrett,Wendell Carter Jr.
AJ Green,Cade Cunningham,De'Aaron Fox,Gary Trent Jr.,Kyle Kuzma,Orlando Robinson,Paolo Banchero,Santi Aldama
Dante Exum,Donovan Mitchell,Kevin Porter Jr.,Kyrie Irving,Orlando Robinson,Paolo Banchero,RJ Barrett,Wendell Carter Jr.
AJ Green,De'Aaron Fox,Khris Middleton,Kyrie Irving,Orlando Robinson,Paolo Banchero,RJ Barrett,Wendell Carter Jr.
Bam Adebayo,De'Aaron Fox,Devin Vassell,Kevin Porter Jr.,PJ Washington,Paolo Banchero,Ryan Rollins,Wendell Carter Jr.
AJ Green,Cade Cunningham,De'Aaron Fox,Kevin Porter Jr.,Khris Middleton,Kyle Kuzma,PJ Washington,Wendell Carter Jr.
AJ Green,Darius Garland,Jarrett Allen,Kevin Porter Jr.,Kyle Kuzma,Orlando Robinson,Paolo Banchero,Scottie Barnes
AJ Green,De'Aaron Fox,Devin Vassell,Karl-Anthony Towns,Kevin Porter Jr.,Kyshawn George,Scottie Barnes,Wendell Carter Jr.
AJ Green,Bam Adebayo,Evan Mobley,Jalen Duren,Kevin Porter Jr.,Khris Middleton,Kyrie Irving,Wendell Carter Jr.
